"dias_chuva_mensal";"precip_total_mensal_mm";"temp_media_mensal_c";"ano";"mes"
9.0;132.2;23.1;2017;2
21.0;253.8;24.0;2017;3
14.0;187.8;25.2;2017;4
3.0;39.0;25.6;2017;5
0.0;0.0;24.6;2017;6
0.0;0.0;22.5;2017;7
0.0;0.0;26.5;2017;8
0.0;0.0;26.4;2017;9
3.0;14.8;28.9;2017;10
17.0;174.0;24.5;2017;11
23.0;428.4;23.6;2017;12
24.0;215.6;23.7;2018;1
20.0;443.4;23.3;2018;2
4.0;;23.6;2018;3
3.0;;23.9;2018;4
1.0;0.4;24.8;2018;5
0.0;0.0;24.3;2018;6
0.0;0.0;24.4;2018;7
2.0;4.2;26.2;2018;8
1.0;2.0;28.0;2018;9
18.0;63.0;26.2;2018;10
18.0;281.6;24.2;2018;11
;;;2018;12
;;;2019;1
11.0;;23.8;2019;2
26.0;270.6;23.7;2019;3
22.0;125.4;24.5;2019;4
5.0;25.6;25.7;2019;5
1.0;0.4;24.5;2019;6
0.0;0.0;24.5;2019;7
;0.0;25.7;2019;8
2.0;11.2;27.9;2019;9
8.0;73.8;26.8;2019;10
20.0;248.8;25.2;2019;11
19.0;116.4;25.5;2019;12
24.0;367.2;23.9;2020;1
23.0;256.0;24.0;2020;2
21.0;196.2;23.7;2020;3
15.0;186.4;24.3;2020;4
5.0;64.6;24.1;2020;5
1.0;1.8;23.6;2020;6
0.0;0.0;23.7;2020;7
0.0;0.0;25.2;2020;8
1.0;3.4;27.3;2020;9
7.0;63.6;27.4;2020;10
;;24.6;2020;11
;;24.9;2020;12
;;24.5;2021;1
;;22.5;2021;2
;;24.1;2021;3
;;24.0;2021;4
;0.0;24.7;2021;5
0.0;0.0;24.8;2021;6
0.0;0.0;24.5;2021;7
0.0;0.0;25.4;2021;8
;;28.0;2021;9
;;25.9;2021;10
;;23.4;2021;11
;;;2021;12
;;;2022;1
;;;2022;2
;;;2022;3
;;;2022;4
;;;2022;5
;;;2022;6
;;24.2;2022;7
0.0;0.0;25.8;2022;8
3.0;32.0;27.1;2022;9
6.0;;27.3;2022;10
12.0;;23.2;2022;11
19.0;;23.4;2022;12
14.0;;23.4;2023;1
14.0;;24.2;2023;2
17.0;;23.7;2023;3
10.0;89.2;24.6;2023;4
3.0;34.6;25.0;2023;5
0.0;0.0;24.8;2023;6
0.0;0.0;25.0;2023;7
4.0;13.4;26.1;2023;8
4.0;23.0;28.1;2023;9
7.0;;28.1;2023;10
9.0;;26.2;2023;11
6.0;;26.2;2023;12
;;24.0;2024;1
;;24.7;2024;2
;;25.5;2024;3
;;25.2;2024;4
;;25.6;2024;5
;;24.5;2024;6
;;24.5;2024;7
;;26.1;2024;8
;;28.1;2024;9
4.0;;28.0;2024;10
2.0;;;2024;11
;;;2024;12
8.0;9.4;26.1;2015;1
;;25.9;2015;2
18.0;281.6;25.6;2015;3
19.0;153.8;25.9;2015;4
4.0;56.8;25.8;2015;5
0.0;0.0;25.8;2015;6
1.0;0.2;26.2;2015;7
0.0;0.0;27.6;2015;8
4.0;38.6;29.4;2015;9
5.0;44.0;29.7;2015;10
9.0;;27.7;2015;11
3.0;;;2015;12
3.0;;;2016;1
13.0;106.6;27.9;2016;2
18.0;162.2;27.2;2016;3
6.0;44.4;27.8;2016;4
0.0;0.0;27.4;2016;5
0.0;0.0;26.7;2016;6
0.0;0.0;26.5;2016;7
0.0;0.0;28.4;2016;8
3.0;15.6;29.3;2016;9
12.0;171.2;28.3;2016;10
